id,full_name,phone_number,brand_supplied_field_rep_id,is_active,password_hash,created_at,updated_at,brand_id,user_id,state
17,,,,1,pbkdf2_sha256$1000000$KCnAq1zOJWGZVcvcl8g5Pq$ZMGIYltYpgw4ua5eHzurbxSQnGrKpt//8Nor85fjxiU=,"2026-01-21 20:29:34.189328","2026-01-21 20:29:34.189350",8,19
18,,7579710491,,1,pbkdf2_sha256$1000000$BsjTTSZptOhMFvh10WYzdV$9GHKALKtXG8FiSNNgT9tMBYbOI9WcvnuEPU0aF0Sj/Q=,"2026-01-22 06:02:26.521375","2026-01-22 06:02:26.521399",8,20
19,"Ira Agarwal",7293943296,FR-2026-010,1,,"2026-01-24 07:27:33.692215","2026-01-24 07:27:33.692233",8,21
20,"Gopala Krishnan",9967108676,FR01,1,pbkdf2_sha256$1000000$mRCH8EvGqZZeIoGu6V2279$UKQfMxqg0KuKxmP2Q40CsPs5jlVN+ygmgtnM6RZoLsY=,"2026-01-27 07:37:48.485192","2026-01-27 07:37:48.485214",34,22
21,"Aditi Chopra",7076927369,FR-2026-007,1,,"2026-01-27 18:50:50.159364","2026-01-27 18:50:50.159381",8,23
22,"Khushan Poptani",9084712373,,1,pbkdf2_sha256$1000000$L46iviQCtdO4Xp3GWs5rz1$zusCWZHUjqHyMbJnmh7esoDcUV+9HTMG2XRYYo5ryRI=,"2026-01-28 07:20:49.678521","2026-01-28 07:20:49.678539",21,24
23,Sanyam,9876543210,FR14,1,,"2026-01-29 09:23:44.129188","2026-01-29 09:23:44.129207",29,25
24,"Khushan Poptani test",9084712372,,1,,"2026-01-30 09:50:46.133900","2026-01-30 09:50:46.133919",33,26
28,"Meera Agarwal",7027707536,FR-2026-009,1,,"2026-01-30 20:53:01.565387","2026-01-30 20:53:01.565407",8,30
29,"Arjun Mehta",6909378681,FR-2026-004,1,,"2026-01-30 21:31:15.876310","2026-01-30 21:31:15.876327",8,31
30,"Khushan Poptani",9084712373,14,1,,"2026-01-31 04:26:52.397755","2026-01-31 04:26:52.397774",21,32
32,"Bhavesh Kataria",9699981122,FR03,1,,"2026-02-03 11:45:19.894555","2026-02-03 11:45:19.894875",34,34
35,"Simran Galani",7798493048,FR001,1,,"2026-02-07 13:55:27.508899","2026-02-07 13:55:27.508918",33,35
36,"Niomi Samani",9429633099,FR09,1,,"2026-02-11 08:15:19.592761","2026-02-11 08:15:19.592780",33,37
